date,temperature
2006-01-01,40.9
2006-02-01,35.7
2006-03-01,43.1
2006-04-01,55.7
2006-05-01,63.1
2006-06-01,71.0
2006-07-01,77.9
2006-08-01,75.8
2006-09-01,66.6
2006-10-01,56.2
2006-11-01,51.9
2006-12-01,43.6
2007-01-01,37.5
2007-02-01,28.2
2007-03-01,42.2
2007-04-01,50.3
2007-05-01,65.2
2007-06-01,71.4
2007-07-01,75.0
2007-08-01,74.0
2007-09-01,70.3
2007-10-01,63.6
2007-11-01,45.4
2007-12-01,37.0
2008-01-01,36.5
2008-02-01,35.8
2008-03-01,42.6
2008-04-01,54.9
2008-05-01,60.1
2008-06-01,74.0
2008-07-01,78.4
2008-08-01,73.8
2008-09-01,68.8
2008-10-01,55.1
2008-11-01,45.8
2008-12-01,38.1
2009-01-01,27.9
2009-02-01,36.7
2009-03-01,42.4
2009-04-01,54.5
2009-05-01,62.5
2009-06-01,67.5
2009-07-01,72.7
2009-08-01,75.7
2009-09-01,66.3
2009-10-01,55.0
2009-11-01,51.2
2009-12-01,35.9
2010-01-01,32.5
2010-02-01,33.1
2010-03-01,48.2
2010-04-01,57.9
2010-05-01,65.3
2010-06-01,74.7
2010-07-01,81.3
2010-08-01,77.4
2010-09-01,71.1
2010-10-01,58.1
2010-11-01,47.9
2010-12-01,32.8
2011-01-01,29.7
2011-02-01,36.0
2011-03-01,42.3
2011-04-01,54.3
2011-05-01,64.5
2011-06-01,72.3
2011-07-01,80.2
2011-08-01,75.3
2011-09-01,70.0
2011-10-01,57.1
2011-11-01,51.9
2011-12-01,43.3
2012-01-01,37.3
2012-02-01,40.9
2012-03-01,50.9
2012-04-01,54.8
2012-05-01,65.1
2012-06-01,71.0
2012-07-01,78.8
2012-08-01,76.7
2012-09-01,68.8
2012-10-01,58.0
2012-11-01,43.9
2012-12-01,41.5
2013-01-01,35.1
2013-02-01,33.9
2013-03-01,40.1
2013-04-01,53.0
2013-05-01,62.8
2013-06-01,72.7
2013-07-01,79.8
2013-08-01,74.6
2013-09-01,67.9
2013-10-01,60.2
2013-11-01,45.3
2013-12-01,38.5
2014-01-01,28.6
2014-02-01,31.6
2014-03-01,37.7
2014-04-01,52.3
2014-05-01,64.0
2014-06-01,72.5
2014-07-01,76.1
2014-08-01,74.5
2014-09-01,69.7
2014-10-01,59.6
2014-11-01,45.3
2014-12-01,40.5
2015-01-01,29.9
2015-02-01,23.9
2015-03-01,38.1
2015-04-01,54.3
2015-05-01,68.5
2015-06-01,71.2
2015-07-01,78.8
2015-08-01,79.0
2015-09-01,74.5
2015-10-01,58.0
2015-11-01,52.8
2015-12-01,50.8
2016-01-01,34.5
2016-02-01,37.7
2016-03-01,48.9
2016-04-01,53.3
2016-05-01,62.8
2016-06-01,72.3
2016-07-01,78.7
2016-08-01,79.2
2016-09-01,71.8
2016-10-01,58.8
2016-11-01,49.8
2016-12-01,38.3
2017-01-01,38.0
2017-02-01,41.6
2017-03-01,39.2
2017-04-01,57.2
2017-05-01,61.1
2017-06-01,72.0
2017-07-01,76.8
2017-08-01,74.0
2017-09-01,70.5
2017-10-01,64.1
2017-11-01,46.6
2017-12-01,33.4
2018-01-01,31.7
2018-02-01,42.0
2018-03-01,40.1
2018-04-01,49.5
2018-05-01,66.9
2018-06-01,71.7
2018-07-01,77.6
2018-08-01,78.1
2018-09-01,70.7
2018-10-01,57.7
2018-11-01,44.4
2018-12-01,40.1
2019-01-01,32.5
2019-02-01,36.2
2019-03-01,41.7
2019-04-01,55.5
2019-05-01,62.2
2019-06-01,71.7
2019-07-01,79.6
2019-08-01,75.5
2019-09-01,70.4
2019-10-01,59.9
2019-11-01,43.9
2019-12-01,38.3
2020-01-01,39.1
2020-02-01,40.1
2020-03-01,48.0
2020-04-01,50.4
2020-05-01,60.3
2020-06-01,73.7
2020-07-01,80.0
2020-08-01,76.9
2020-09-01,68.8
2020-10-01,57.9
2020-11-01,53.0
2020-12-01,39.2
2021-01-01,34.8
2021-02-01,34.2
2021-03-01,45.8
2021-04-01,54.6
2021-05-01,62.9
2021-06-01,74.3
2021-07-01,76.0
2021-08-01,77.5
2021-09-01,70.3
2021-10-01,62.0
2021-11-01,46.2
2021-12-01,43.8
2022-01-01,30.3
2022-02-01,37.3
2022-03-01,45.3
2022-04-01,52.8
2022-05-01,64.0
2022-06-01,71.4
2022-07-01,79.5
2022-08-01,79.3
2022-09-01,69.5
2022-10-01,56.9
2022-11-01,50.9
2022-12-01,38.5
2023-01-01,43.5
2023-02-01,41.1
2023-03-01,44.6
2023-04-01,57.6
2023-05-01,62.7
2023-06-01,70.0
2023-07-01,79.0
2023-08-01,75.0
2023-09-01,69.4
2023-10-01,60.5
2023-11-01,46.7
2023-12-01,44.6
